Stock,Ticker,Sector,Horizon,Total_Return,Buy_Hold_Return,Excess_Return,Win_Rate,Total_Trades,Sharpe_Ratio,Max_Drawdown,Final_Value
Barclays,BARC.L,Banking,7d,9.387327349109682,1.6008883086025691,7.786439040507114,0.7709923664122137,131,2.160785786676823,0.21151544835786223,103873.27349109683
Alphabet,GOOGL,Technology,7d,6.861652450669719,1.9955572173159635,4.8660952333537555,0.7652173913043478,115,1.9934832662442148,0.1267307541185422,78616.52450669718
NVIDIA,NVDA,Technology,7d,6.681723423738287,12.85445170623456,-6.172728282496273,0.6104651162790697,172,1.1089098283584893,0.6725738654971398,76817.23423738287
Microsoft,MSFT,Technology,7d,4.574619088872691,1.1210971682701072,3.453521920602584,0.8083333333333333,120,1.8712557194824873,0.15244735563896195,55746.19088872691
Rolls-Royce,RR.L,Defence,7d,4.543161791760179,9.188466469909908,-4.64530467814973,0.5838150289017341,173,1.1054151223345066,0.5754347901594826,55431.61791760179
Pfizer,PFE,Pharma,7d,4.520830672448183,-0.11171331001227659,4.632543982460459,0.7916666666666666,96,1.9192449315694942,0.1489614307507512,55208.30672448182
Apple,AAPL,Technology,7d,4.099371835084813,1.2134625259048977,2.8859093091799157,0.6949152542372882,118,1.622867299278343,0.2492348517589426,50993.71835084813
BAE Systems,BA.L,Defence,7d,3.9146085867479545,2.4392781635487495,1.475330423199205,0.7062937062937062,143,1.698123121848486,0.17914382620602629,49146.085867479545
NatWest Group,NWG.L,Banking,7d,3.5517983113648226,2.1504809451857656,1.401317366179057,0.6987179487179487,156,1.384456613224241,0.2781672645213886,45517.983113648224
Johnson & Johnson,JNJ,Pharma,7d,2.379280455330102,0.47165087614461926,1.907629579185483,0.9125,80,2.429597797388587,0.05151213206491782,33792.80455330102
AstraZeneca,AZN.L,Pharma,7d,2.2483558850803913,0.9687717683522129,1.2795841167281785,0.8376068376068376,117,2.06091551077773,0.06683824750464298,32483.558850803915
GSK,GSK.L,Pharma,7d,2.1648335605923363,0.4388261292209502,1.7260074313713862,0.7755102040816326,98,1.873228272539463,0.09843883096741407,31648.335605923363
Standard Chartered,STAN.L,Banking,7d,1.6798723936224582,2.654051100354091,-0.974178706731633,0.6158536585365854,164,0.8707074153766972,0.2971273850843391,26798.723936224582
HSBC,HSBA.L,Banking,7d,1.5851549263081735,1.7315309492742241,-0.14637602296605068,0.5962732919254659,161,1.045296790859024,0.2739320365475304,25851.549263081735
Lockheed Martin,LMT,Defence,7d,1.381355143710924,0.5860468985016876,0.7953082452092364,0.6691729323308271,133,1.1292671456714978,0.3712166466500718,23813.55143710924
Amazon,AMZN,Technology,7d,0.7194976427832982,0.4776218150154268,0.24187582776787142,0.6134453781512605,119,0.5297108025621351,0.5251544967810795,17194.976427832982
Raytheon Technologies,RTX,Defence,7d,0.5488647850428344,1.6454167642225626,-1.0965519791797282,0.5232558139534884,172,0.5270215845528008,0.39521990795509626,15488.647850428344
Lloyds Banking,LLOY.L,Banking,7d,0.3951572572801273,1.3693887442365875,-0.9742314869564602,0.5549132947976878,173,0.40286949238487746,0.38699965767726824,13951.572572801273
Northrop Grumman,NOC,Defence,7d,0.23389721179434983,1.065836499244322,-0.8319392874499723,0.5348837209302325,172,0.308970402020897,0.3376961216106413,12338.972117943498
Moderna,MRNA,Pharma,7d,0.0,-0.7763107257391666,0.7763107257391666,0.0,0,0.0,0.0,10000.0
